/RU26216RMFS=MM	Baa1	3/27/2013	MDL
/RU26216RMFS=MM	WD	7/25/2006	FIS
/RU26216RMFS=MM	BBB	2/4/2009	FDL
/RU46005RMFS=MM	BBB	12/8/2008	SPI
/RU46005RMFS=MM	Baa1	3/27/2013	MIS
/RU46005RMFS=MM	Baa1	3/27/2013	MDL
/RU46005RMFS=MM	WD	7/25/2006	FIS
/RU46005RMFS=MM	BBB	2/4/2009	FDL
/RU46007RMFS=MM	BBB	12/8/2008	SPI
/RU46007RMFS=MM	Baa1	3/27/2013	MIS
/RU46007RMFS=MM	Baa1	3/27/2013	MDL
/RU46007RMFS=MM	WD	7/25/2006	FIS
/RU46007RMFS=MM	BBB	2/4/2009	FDL
/RU46008RMFS=MM	BBB	12/8/2008	SPI
/RU46008RMFS=MM	Baa1	3/27/2013	MIS
/RU46008RMFS=MM	Baa1	3/27/2013	MDL
/RU46008RMFS=MM	WD	7/25/2006	FIS
/RU46008RMFS=MM	BBB	2/4/2009	FDL
/RU46009RMFS=MM	BBB	12/8/2008	SPI
/RU46009RMFS=MM	Baa1	3/27/2013	MIS
/RU46009RMFS=MM	Baa1	3/27/2013	MDL
/RU46009RMFS=MM	WD	7/25/2006	FIS
/RU46009RMFS=MM	BBB	2/4/2009	FDL
/RU46010RMFS=MM	BBB	12/8/2008	SPI
/RU46010RMFS=MM	Baa1	3/27/2013	MIS
/RU46010RMFS=MM	Baa1	3/27/2013	MDL
/RU46010RMFS=MM	WD	7/25/2006	FIS
/RU46010RMFS=MM	BBB	2/4/2009	FDL
/RU46011RMFS=MM	BBB	12/8/2008	SPI
/RU46011RMFS=MM	Baa1	3/27/2013	MIS
/RU46011RMFS=MM	Baa1	3/27/2013	MDL
/RU46011RMFS=MM	WD	7/25/2006	FIS
/RU46011RMFS=MM	BBB	2/4/2009	FDL
/RU46012RMFS=MM	BBB	12/8/2008	SPI
/RU46012RMFS=MM	Baa1	3/27/2013	MIS
/RU46012RMFS=MM	Baa1	3/27/2013	MDL
/RU46012RMFS=MM	WD	7/25/2006	FIS
/RU46012RMFS=MM	BBB	2/4/2009	FDL
/RU46014RMFS=MM	BBB	12/8/2008	SPI
/RU46014RMFS=MM	Baa1	3/27/2013	MIS
/RU46014RMFS=MM	Baa1	3/27/2013	MDL
/RU46014RMFS=MM	WD	7/25/2006	FIS
/RU46014RMFS=MM	BBB	2/4/2009	FDL
/RU46017RMFS=MM	BBB	12/8/2008	SPI
/RU46017RMFS=MM	Baa1	3/27/2013	MIS
