RU088663268=		
/RU46022RMFS=MM	7/20/2011	6.5
/RU46022RMFS=MM	7/24/2013	6
/RU46022RMFS=MM	7/25/2018	5.5
/RU46023RMFS=MM		
/RU46023RMFS=MM	9/30/2011	8.16
/RU48001RMFS=MM		
/RU48001RMFS=MM	11/18/2004	10
/RU48001RMFS=MM	10/24/2005	8
/RU48001RMFS=MM	11/15/2006	7.25
/RU48001RMFS=MM	11/12/2008	10.5
/RU48001RMFS=MM	11/11/2009	13
/RU48001RMFS=MM	11/10/2010	7
/RU48001RMFS=MM	11/9/2011	6.5
/RU48001RMFS=MM	11/7/2012	6
/RU48001RMFS=MM	11/6/2013	5.5
/RU000A0JQGW2=MM		
/RU000A0JQGW2=MM	11/5/2009	15
/RU000A0JQGW2=MM	11/4/2010	8.5
/RU000A0JQ9U9=MM		
/RU000A0JQ9U9=MM	8/18/2009	14.75
/RU000A0JQ9U9=MM	8/14/2012	8.35
/RU000A0JQL30=MM		
/RU000A0JQL30=MM	12/3/2009	12.5
/RU000A0JQL30=MM	11/29/2012	8.75
/RU000A0JRBU5=MM		
/RU000A0JRBU5=MM	3/22/2011	7.65
/RU000A0JR5F7=MM		
/RU000A0JR5F7=MM	2/9/2011	9.05
/RU000A0JU3G5=MM		
/RU000A0JU3G5=MM	8/27/2013	8.5
/RU000A0JS1A6=MM		
/RU000A0JS1A6=MM	12/21/2011	9
/RU000A0JTCV7=MM		
/RU000A0JTCV7=MM	11/28/2012	9
/RU000A0JUBT1=MM		
/RU000A0JUBT1=MM	12/12/2013	9
/RU000A0JPJE6=MM		
/RU000A0JPJE6=MM	12/11/2007	8.05
/RU000A0JPLU8=MM		
/RU000A0JPLU8=MM	1/31/2008	8.2
/RU000A0JQAG8=MM		
/RU000A0JQAG8=MM	8/27/2009	13.25
/RU000A0JQAG8=MM	4/15/2010	10.75
/RU000A0JQAG8=MM	10/15/2010	10.25
/RU000A0JQAG8=MM	4/15/2011	10.5
/RU000A0JQAG8=MM	10/17/2011	10.75
/RU000A0JQAG8=MM	4/16/2012	10.5
/RU000A0JQAG8=MM	10/15/2012	10.75
